"movieId","provider_id","provider_name","type"
313,2,"Apple iTunes","buy"
313,3,"Google Play Movies","buy"
314,,,"buy"
315,2,"Apple iTunes","buy"
315,3,"Google Play Movies","buy"
316,,,"buy"
317,3,"Google Play Movies","buy"
318,2,"Apple iTunes","buy"
318,3,"Google Play Movies","buy"
319,,,"buy"
320,,,"buy"
321,,,"buy"
322,,,"buy"
324,,,"buy"
325,,,"buy"
326,,,"buy"
327,,,"buy"
328,2,"Apple iTunes","buy"
328,3,"Google Play Movies","buy"
329,2,"Apple iTunes","buy"
329,3,"Google Play Movies","buy"
330,,,"buy"
331,,,"buy"
332,2,"Apple iTunes","buy"
333,2,"Apple iTunes","buy"
333,3,"Google Play Movies","buy"
334,,,"buy"
335,2,"Apple iTunes","buy"
335,3,"Google Play Movies","buy"
336,,,"buy"
337,2,"Apple iTunes","buy"
338,,,"buy"
339,,,"buy"
340,3,"Google Play Movies","buy"
341,,,"buy"
342,,,"buy"
343,,,"buy"
344,3,"Google Play Movies","buy"
345,3,"Google Play Movies","buy"
346,,,"buy"
347,,,"buy"
348,,,"buy"
349,2,"Apple iTunes","buy"
349,3,"Google Play Movies","buy"
350,,,"buy"
351,2,"Apple iTunes","buy"
352,,,"buy"
353,,,"buy"
354,,,"buy"
355,,,"buy"
356,2,"Apple iTunes","buy"
356,3,"Google Play Movies","buy"
357,2,"Apple iTunes","buy"
357,3,"Google Play Movies","buy"
358,2,"Apple iTunes","buy"
359,,,"buy"
360,,,"buy"
361,2,"Apple iTunes","buy"
362,,,"buy"
363,,,"buy"
364,,,"buy"
365,,,"buy"
366,2,"Apple iTunes","buy"
367,,,"buy"
368,2,"Apple iTunes","buy"
369,,,"buy"
370,2,"Apple iTunes","buy"
370,3,"Google Play Movies","buy"
371,,,"buy"
372,2,"Apple iTunes","buy"
372,3,"Google Play Movies","buy"
373,,,"buy"
374,2,"Apple iTunes","buy"
375,,,"buy"
376,3,"Google Play Movies","buy"
377,3,"Google Play Movies","buy"
378,,,"buy"
379,2,"Apple iTunes","buy"
380,,,"buy"
381,,,"buy"
382,2,"Apple iTunes","buy"
383,2,"Apple iTunes","buy"
384,,,"buy"
385,,,"buy"
386,,,"buy"
387,,,"buy"
388,,,"buy"
389,,,"buy"
390,,,"buy"
391,,,"buy"
392,,,"buy"
393,2,"Apple iTunes","buy"
394,,,"buy"
395,,,"buy"
396,,,"buy"
397,,,"buy"
398,,,"buy"
399,,,"buy"
400,,,"buy"
401,,,"buy"
402,,,"buy"
403,,,"buy"
404,,,"buy"
405,,,"buy"
406,,,"buy"
407,2,"Apple iTunes","buy"
408,2,"Apple iTunes","buy"
408,3,"Google Play Movies","buy"
409,,,"buy"
410,3,"Google Play Movies","buy"
411,,,"buy"
412,3,"Google Play Movies","buy"
413,,,"buy"
414,,,"buy"
415,,,"buy"
416,3,"Google Play Movies","buy"
417,,,"buy"
418,,,"buy"
419,,,"buy"
420,2,"Apple iTunes","buy"
420,3,"Google Play Movies","buy"
421,2,"Apple iTunes","buy"
